"Source:","E:\Daisy\Tomboi\euro-tomboi-kicad\euro-tomboi.kicad_sch"
"Date:","02/10/2023 11:10:50"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","72"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","C2","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","C3","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","C4","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","C5","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","C6","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","C7","10u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C8","10u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","C9","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","C10","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","D1","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"","","D2","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"","","D3","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"","","D4","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"","","D5","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"","","D6","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"","","D7","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"","","D8","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"","","J1","Output","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"","","J2","Trig_1","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"","","J3","Trig_2","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"","","J4","Trig_3","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"","","J5","CV_1","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"","","J6","CV_2","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"","","J7","CV_3","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"","","J8","Conn_01x16_Female","Connector:Conn_01x16_Female","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~"
"","","J9","Conn_01x16_Male","Connector:Conn_01x16_Male","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~"
"","","J10","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"","","R1","66.5k","Device:R","omat:Omaresistor2","~"
"","","R2","200k","Device:R","omat:Omaresistor2","~"
"","","R3","66.5k","Device:R","omat:Omaresistor2","~"
"","","R4","200k","Device:R","omat:Omaresistor2","~"
"","","R5","66.5k","Device:R","omat:Omaresistor2","~"
"","","R6","200k","Device:R","omat:Omaresistor2","~"
"","","R7","1k","Device:R","omat:Omaresistor2","~"
"","","R8","1k","Device:R","omat:Omaresistor2","~"
"","","R9","1k","Device:R","omat:Omaresistor2","~"
"","","R10","200k","Device:R","omat:Omaresistor2","~"
"","","R11","200k","Device:R","omat:Omaresistor2","~"
"","","R12","200k","Device:R","omat:Omaresistor2","~"
"","","R13","66.5k","Device:R","omat:Omaresistor2","~"
"","","R14","66.5k","Device:R","omat:Omaresistor2","~"
"","","R15","66.5k","Device:R","omat:Omaresistor2","~"
"","","R16","1k","Device:R","omat:Omaresistor2","~"
"","","R17","1k","Device:R","omat:Omaresistor2","~"
"","","R18","1k","Device:R","omat:Omaresistor2","~"
"","","R19","1k","Device:R","omat:Omaresistor2","~"
"","","R20","1k","Device:R","omat:Omaresistor2","~"
"","","R21","1k","Device:R","omat:Omaresistor2","~"
"","","R22","1k","Device:R","omat:Omaresistor2","~"
"","","R23","10k","Device:R","omat:Omaresistor2","~"
"","","R24","20k","Device:R","omat:Omaresistor2","~"
"","","R25","1k","Device:R","omat:Omaresistor2","~"
"","","R26","2k","Device:R","omat:Omaresistor2","~"
"","","RV1","Sample1pitch","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV2","Sample1cv_attn","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV3","Sample1select","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV4","Sample2pitch","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV5","Sample2cv_attn","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV6","Sample2select","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV7","Sample3pitch","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV8","Sample3cv_attn","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV9","Sample3select","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV10","Reverb_mix","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV11","Reverb_feedback","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","RV12","Reverb_lowpass","Device:R_Potentiometer","omat:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles3D","~"
"","","SW1","SW_SPDT","Switch:SW_SPDT","omat:submini switch","~"
"","","U1","MCP6002-xP","Amplifier_Operational:MCP6002-xP","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
"","","U2","MCP6002-xP","Amplifier_Operational:MCP6002-xP","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
"","","U3","Daisy_Seed","omat:Daisy_Seed","omat:Daisy Seed",""
"","","U4","TL071","Amplifier_Operational:TL071","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"","","U5","LM4040LP-10","Reference_Voltage:LM4040LP-10","Package_TO_SOT_THT:TO-92_Inline_Wide","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","3","C1, C2, C3","10n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"2","5","C4, C5, C6, C9, C10","100n","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"3","2","C7, C8","10u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"4","8","D1, D2, D3, D4, D5, D6, D7, D8","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"5","1","J1","Output","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"6","1","J2","Trig_1","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"7","1","J3","Trig_2","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"8","1","J4","Trig_3","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"9","1","J5","CV_1","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"10","1","J6","CV_2","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"11","1","J7","CV_3","Connector:AudioJack2_SwitchT","omat:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles_mid","~"
"12","1","J8","Conn_01x16_Female","Connector:Conn_01x16_Female","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~"
